t, y
8.34375, 8.20907e-304
8.35938, 2.22279e-304
8.375, 6.01872e-305
8.39062, 1.62971e-305
8.40625, 4.41281e-306
8.42188, 1.19487e-306
8.4375, 3.23538e-307
8.45312, 8.76054e-308
8.46875, 2.37212e-308
8.48438, 6.42305e-309
8.5, 1.73919e-309
8.51562, 4.70925e-310
8.53125, 1.27514e-310
8.54688, 3.45273e-311
8.5625, 9.34905e-312
8.57812, 2.53147e-312
8.59375, 6.85453e-313
8.60938, 1.85602e-313
8.625, 5.02561e-314
8.64062, 1.3608e-314
8.65625, 3.68467e-315
8.67188, 9.9771e-316
8.6875, 2.70153e-316
8.70312, 7.31501e-317
8.71875, 1.98071e-317
8.73438, 5.36322e-318
8.75, 1.45221e-318
8.76562, 3.93222e-319
8.78125, 1.06476e-319
8.79688, 2.88287e-320
8.8125, 7.80624e-321
8.82812, 2.1146e-321
8.84375, 5.73116e-322
8.85938, 1.5316e-322
8.875, 3.95253e-323
8.89062, 9.88131e-324
8.90625, 4.94066e-324
8.92188, 0
8.9375, 0
8.95312, 0
8.96875, 0
8.98438, 0
9, 0
9.01562, 0
9.03125, 0
9.04688, 0
9.0625, 0
9.07812, 0
9.09375, 0
9.10938, 0
9.125, 0
9.14062, 0
9.15625, 0
9.17188, 0
9.1875, 0
9.20312, 0
9.21875, 0
9.23438, 0
9.25, 0
9.26562, 0
9.28125, 0
9.29688, 0
9.3125, 0
9.32812, 0
9.34375, 0
9.35938, 0
9.375, 0
9.39062, 0
9.40625, 0
9.42188, 0
9.4375, 0
9.45312, 0
9.46875, 0
9.48438, 0
9.5, 0
9.51562, 0
9.53125, 0
9.54688, 0
9.5625, 0
9.57812, 0
9.59375, 0
9.60938, 0
9.625, 0
9.64062, 0
9.65625, 0
9.67188, 0
9.6875, 0
9.70312, 0
9.71875, 0
9.73438, 0
9.75, 0
9.76562, 0
9.78125, 0
9.79688, 0
9.8125, 0
9.82812, 0
9.84375, 0
9.85938, 0
9.875, 0
9.89062, 0
9.90625, 0
9.92188, 0
9.9375, 0
9.95312, 0
9.96875, 0
9.98438, 0
10, 0
10.0156, 0
10.0312, 0
10.0469, 0
10.0625, 0
10.0781, 0
10.0938, 0
10.1094, 0
10.125, 0
10.1406, 0
10.1562, 0
10.1719, 0
10.1875, 0
10.2031, 0
10.2188, 0
10.2344, 0
10.25, 0
10.2656, 0
10.2812, 0
10.2969, 0
10.3125, 0
10.3281, 0
10.3438, 0
10.3594, 0
10.375, 0
10.3906, 0
10.4062, 0
10.4219, 0
10.4375, 0
10.4531, 0
10.4688, 0
10.4844, 0
10.5, 0
10.5156, 0
10.5312, 0
10.5469, 0
10.5625, 0
10.5781, 0
10.5938, 0
10.6094, 0
10.625, 0
10.6406, 0
10.6562, 0
10.6719, 0
10.6875, 0
10.7031, 0
10.7188, 0
10.7344, 0
10.75, 0
10.7656, 0
10.7812, 0
10.7969, 0
10.8125, 0
10.8281, 0
10.8438, 0
10.8594, 0
10.875, 0
10.8906, 0
10.9062, 0
10.9219, 0
10.9375, 0
10.9531, 0
10.9688, 0
10.9844, 0
11, 0
11.0156, 0
11.0312, 0
11.0469, 0
11.0625, 0
11.0781, 0
11.0938, 0
11.1094, 0
11.125, 0
11.1406, 0
11.1562, 0
11.1719, 0
11.1875, 0
11.2031, 0
11.2188, 0
11.2344, 0
11.25, 0
11.2656, 0
11.2812, 0
11.2969, 0
11.3125, 0
11.3281, 0
11.3438, 0
11.3594, 0
11.375, 0
11.3906, 0
11.4062, 0
11.4219, 0
11.4375, 0
11.4531, 0
11.4688, 0
11.4844, 0
11.5, 0
11.5156, 0
11.5312, 0
11.5469, 0
11.5625, 0
11.5781, 0
11.5938, 0
11.6094, 0
11.625, 0
11.6406, 0
11.6562, 0
11.6719, 0
11.6875, 0
11.7031, 0
11.7188, 0
11.7344, 0
11.75, 0
11.7656, 0
11.7812, 0
11.7969, 0
11.8125, 0
11.8281, 0
11.8438, 0
11.8594, 0
11.875, 0
11.8906, 0
11.9062, 0
11.9219, 0
11.9375, 0
11.9531, 0
11.9688, 0
11.9844, 0
12, 0
12.0156, 0
12.0312, 0
12.0469, 0
12.0625, 0
12.0781, 0
12.0938, 0
12.1094, 0
12.125, 0
12.1406, 0
12.1562, 0
12.1719, 0
12.1875, 0
12.2031, 0
12.2188, 0
12.2344, 0
12.25, 0
12.2656, 0
12.2812, 0
12.2969, 0
12.3125, 0
12.3281, 0
12.3438, 0
12.3594, 0
12.375, 0
12.3906, 0
12.4062, 0
12.4219, 0
12.4375, 0
12.4531, 0
12.4688, 0
12.4844, 0
12.5, 0
12.5156, 0
12.5312, 0
12.5469, 0
12.5625, 0
12.5781, 0
12.5938, 0
12.6094, 0
12.625, 0
12.6406, 0
12.6562, 0
12.6719, 0
12.6875, 0
12.7031, 0
12.7188, 0
12.7344, 0
12.75, 0
12.7656, 0
12.7812, 0
12.7969, 0
12.8125, 0
12.8281, 0
12.8438, 0
12.8594, 0
12.875, 0
12.8906, 0
12.9062, 0
12.9219, 0
12.9375, 0
12.9531, 0
12.9688, 0
12.9844, 0
13, 0
13.0156, 0
13.0312, 0
13.0469, 0
13.0625, 0
13.0781, 0
13.0938, 0
13.1094, 0
13.125, 0
13.1406, 0
13.1562, 0
13.1719, 0
13.1875, 0
13.2031, 0
13.2188, 0
13.2344, 0
13.25, 0
13.2656, 0
13.2812, 0
13.2969, 0
13.3125, 0
13.3281, 0
13.3438, 0
13.3594, 0
13.375, 0
13.3906, 0
13.4062, 0
13.4219, 0
13.4375, 0
13.4531, 0
13.4688, 0
13.4844, 0
13.5, 0
13.5156, 0
13.5312, 0
13.5469, 0
13.5625, 0
13.5781, 0
13.5938, 0
13.6094, 0
13.625, 0
13.6406, 0
13.6562, 0
13.6719, 0
13.6875, 0
13.7031, 0
13.7188, 0
13.7344, 0
13.75, 0
13.7656, 0
13.7812, 0
13.7969, 0
13.8125, 0
13.8281, 0
13.8438, 0
13.8594, 0
13.875, 0
13.8906, 0
13.9062, 0
13.9219, 0
13.9375, 0
13.9531, 0
13.9688, 0
13.9844, 0
14, 0
14.0156, 0
14.0312, 0
14.0469, 0
14.0625, 0
14.0781, 0
14.0938, 0
14.1094, 0
14.125, 0
14.1406, 0
14.1562, 0
14.1719, 0
14.1875, 0
14.2031, 0
14.2188, 0
14.2344, 0
14.25, 0
14.2656, 0
14.2812, 0
14.2969, 0
14.3125, 0
14.3281, 0
14.3438, 0
14.3594, 0
14.375, 0
14.3906, 0
14.4062, 0
14.4219, 0
14.4375, 0
14.4531, 0
14.4688, 0
14.4844, 0
14.5, 0
14.5156, 0
14.5312, 0
14.5469, 0
14.5625, 0
14.5781, 0
14.5938, 0
14.6094, 0
14.625, 0
14.6406, 0
14.6562, 0
14.6719, 0
14.6875, 0
14.7031, 0
14.7188, 0
14.7344, 0
14.75, 0
14.7656, 0
14.7812, 0
14.7969, 0
14.8125, 0
14.8281, 0
14.8438, 0
14.8594, 0
14.875, 0
14.8906, 0
14.9062, 0
14.9219, 0
14.9375, 0
14.9531, 0
14.9688, 0
14.9844, 0
15, 0
15.0156, 0
15.0312, 0
15.0469, 0
15.0625, 0
15.0781, 0
15.0938, 0
15.1094, 0
15.125, 0
15.1406, 0
15.1562, 0
15.1719, 0
15.1875, 0
15.2031, 0
